Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,,NAS,KOS
10/27/2017,685.200012,689.969971,682.900024,689.969971,689.969971,537100,,10/27/2017,6635.029785,6708.129883,6625.779785,6701.259766,6701.259766,2403600000,,,,
10/30/2017,692.76001,693.119995,688.409973,689.679993,689.679993,470700,,10/30/2017,6693.77002,6727.390137,6677.149902,6698.959961,6698.959961,2013640000,,,,
10/31/2017,691.070007,694.22998,689.289978,694.200012,694.200012,627100,,10/31/2017,6713.709961,6737.75,6705.790039,6727.669922,6727.669922,2043890000,,,,
11/1/2017,696.650024,696.929993,694.27002,695.77002,695.77002,630600,,11/1/2017,6758.640137,6759.660156,6691.47998,6716.529785,6716.529785,2056860000,,,,
11/2/2017,698.140015,698.909973,691.52002,694.960022,694.960022,608900,,11/2/2017,6709.390137,6719.970215,6677.549805,6714.939941,6714.939941,2262940000,,,,
11/3/2017,697.429993,701.130005,695.880005,701.130005,701.130005,661000,,11/3/2017,6737.089844,6765.140137,6712.930176,6764.439941,6764.439941,2195010000,,,,
11/6/2017,703.200012,704.159973,699.75,703.789978,703.789978,595300,,11/6/2017,6763.299805,6790.669922,6763.169922,6786.439941,6786.439941,2166470000,,,,
11/7/2017,704.830017,704.830017,697.440002,701.140015,701.140015,649900,,11/7/2017,6785.439941,6795.52002,6750.350098,6767.779785,6767.779785,2205270000,,,,
11/8/2017,702.690002,709.109985,701.52002,709.109985,709.109985,812400,,11/8/2017,6764.850098,6791.649902,6753.339844,6789.120117,6789.120117,2110990000,,,,
11/9/2017,710.710022,711.780029,705.280029,709.940002,709.940002,614800,,11/9/2017,6737.450195,6758.930176,6687.279785,6750.049805,6750.049805,2235180000,,,,
11/10/2017,709.849976,720.789978,709.549988,720.789978,720.789978,599900,,11/10/2017,6736.390137,6757.339844,6727.350098,6750.939941,6750.939941,1973970000,,,,
11/13/2017,724.76001,741.380005,724.76001,741.380005,741.380005,687100,,11/13/2017,6727.390137,6766.299805,6723.430176,6757.600098,6757.600098,1973790000,,,,
11/14/2017,746.880005,756.460022,742.789978,756.460022,756.460022,837100,,11/14/2017,6733.870117,6743.629883,6709.27002,6737.870117,6737.870117,1983830000,,,,
11/15/2017,759.549988,773.049988,755.059998,768.030029,768.030029,944900,,11/15/2017,6700.680176,6725.319824,6667.310059,6706.209961,6706.209961,1908660000,,,,
11/16/2017,775.460022,780.219971,759.700012,780.219971,780.219971,897400,,11/16/2017,6742.339844,6806.669922,6742.339844,6793.290039,6793.290039,2002920000,,,,
11/17/2017,776.320007,779.570007,770.549988,775.849976,775.849976,767800,,11/17/2017,6794.450195,6797.75,6777.430176,6782.790039,6782.790039,1988090000,,,,
11/20/2017,776.73999,785.320007,776.309998,785.320007,785.320007,834800,,11/20/2017,6789.279785,6795.830078,6779.490234,6790.709961,6790.709961,1800880000,,,,
11/21/2017,790.349976,793.599976,782.950012,789.380005,789.380005,809300,,11/21/2017,6820.549805,6862.660156,6820.02002,6862.47998,6862.47998,1883550000,,,,
11/22/2017,793.789978,796.280029,779.200012,780.900024,780.900024,894400,,11/22/2017,6869.529785,6874.52002,6859.279785,6867.359863,6867.359863,1588200000,,,,
11/24/2017,797.969971,803.73999,792.73999,792.73999,792.73999,751800,x,11/24/2017,6878.109863,6890.02002,6873.740234,6889.160156,6889.160156,848520000,,,,
11/27/2017,793.809998,800.039978,783.849976,792.799988,792.799988,735800,,11/27/2017,6889.910156,6897.430176,6867.890137,6878.52002,6878.52002,1773400000,,,,
11/28/2017,797.289978,797.530029,773.099976,773.119995,773.119995,891400,,11/28/2017,6893.720215,6914.189941,6866.209961,6912.359863,6912.359863,2000410000,,,,
11/29/2017,776.75,783.190002,770.969971,781.719971,781.719971,754800,,11/29/2017,6907.279785,6908.330078,6793.950195,6824.390137,6824.390137,2452860000,,,,
11/30/2017,779.840027,782.419983,769.789978,771.419983,771.419983,1053600,,11/30/2017,6852.799805,6888.649902,6838.47998,6873.970215,6873.970215,2458580000,,,,
12/1/2017,779.539978,788.150024,776.710022,787.700012,787.700012,883800,,12/1/2017,6844.040039,6872.169922,6737.160156,6847.589844,6847.589844,2293570000,,,,
12/4/2017,788.02002,788.460022,778.200012,782.450012,782.450012,821400,,12/4/2017,6897.129883,6899.22998,6770.689941,6775.370117,6775.370117,2426570000,,,,
12/5/2017,782.140015,783.609985,773.799988,774.119995,774.119995,860300,,12/5/2017,6759.140137,6836.450195,6752.319824,6762.209961,6762.209961,2083540000,,,,
12/6/2017,778.280029,783.539978,765.25,768.390015,768.390015,970300,,12/6/2017,6742.069824,6787.419922,6734.129883,6776.379883,6776.379883,1891850000,,,,
12/7/2017,771.469971,773.280029,744.340027,753.460022,753.460022,1470900,,12/7/2017,6785.740234,6829.290039,6778.200195,6812.839844,6812.839844,1934120000,,,,
12/8/2017,757.210022,760.72998,743.900024,744.059998,744.059998,1159200,,12/8/2017,6859.950195,6870.47998,6831.609863,6840.080078,6840.080078,1806040000,,,,
12/11/2017,747.98999,764.090027,745.880005,764.090027,764.090027,790700,,12/11/2017,6847.640137,6879.799805,6844.879883,6875.080078,6875.080078,1818970000,,,,
12/12/2017,768.299988,769.140015,755.030029,760.400024,760.400024,1018800,,12/12/2017,6872.709961,6884.799805,6856.299805,6862.319824,6862.319824,1861560000,,,,
12/13/2017,764.330017,773.02002,763.169983,772.219971,772.219971,1143800,,12/13/2017,6880.410156,6897.620117,6871.870117,6875.799805,6875.799805,1919560000,,,,
12/14/2017,777.25,777.440002,764.73999,770.349976,770.349976,985000,,12/14/2017,6887.379883,6901.129883,6851.629883,6856.529785,6856.529785,1985200000,,,,
12/15/2017,770.27002,775.039978,766.450012,771.820007,771.820007,1047400,,12/15/2017,6871.549805,6945.819824,6871.450195,6936.580078,6936.580078,3510420000,,,,
12/18/2017,776.090027,777.400024,770.5,770.5,770.5,1131000,,12/18/2017,6980.399902,7003.890137,6975.540039,6994.759766,6994.759766,2144360000,,,,
12/19/2017,769.869995,771.01001,754.27002,766.179993,766.179993,1692200,,12/19/2017,6991.25,6995.879883,6951.490234,6963.850098,6963.850098,2071060000,,,,
12/21/2017,754.539978,759.130005,740.309998,740.320007,740.320007,1208900,x,12/21/2017,6972.879883,6992.629883,6961.209961,6965.359863,6965.359863,1815620000,,,,
12/22/2017,742.150024,761.200012,740.049988,761.200012,761.200012,1083300,,12/22/2017,6958.02002,6962.259766,6944.450195,6959.959961,6959.959961,1539250000,,,,
12/26/2017,763.960022,775.539978,762.210022,762.210022,762.210022,808300,,12/26/2017,6928.919922,6942.140137,6915.560059,6936.25,6936.25,1304340000,,,,
12/27/2017,771.330017,791.950012,770.950012,791.950012,791.950012,829600,,12/27/2017,6941.450195,6955.379883,6931.339844,6939.339844,6939.339844,1409540000,,,,
12/28/2017,791.76001,798.679993,790.340027,798.419983,798.419983,1066200,,12/28/2017,6953.379883,6954.799805,6936.75,6950.160156,6950.160156,1311320000,,,,
1/2/2018,803.630005,813.400024,800.539978,812.450012,812.450012,989200,x,1/2/2018,6937.649902,7006.910156,6924.080078,7006.899902,7006.899902,1914930000,,,,
1/3/2018,816.299988,824.179993,812.219971,822.309998,822.309998,1203100,,1/3/2018,7017.069824,7069.149902,7016.700195,7065.529785,7065.529785,2166780000,,,,
1/4/2018,825.109985,825.570007,802.830017,808.01001,808.01001,1346500,,1/4/2018,7089.5,7098.049805,7072.379883,7077.910156,7077.910156,2098890000,,,,
1/5/2018,812.049988,828.039978,812.049988,828.030029,828.030029,1229200,,1/5/2018,7105.740234,7137.040039,7097.080078,7136.560059,7136.560059,2020900000,,,,
1/8/2018,836.070007,840.059998,829.280029,839.51001,839.51001,1229000,,1/8/2018,7135.379883,7161.350098,7124.089844,7157.390137,7157.390137,2051430000,,,,
1/9/2018,841.390015,843.559998,827.289978,829.98999,829.98999,1196000,,1/9/2018,7174.189941,7181.140137,7148.299805,7163.580078,7163.580078,0,,,,
1/10/2018,837.630005,841.25,820.890015,834.909973,834.909973,1104100,,1/10/2018,7129.830078,7154.240234,7111.52002,7153.569824,7153.569824,2122740000,,,,
1/11/2018,835.22998,852.51001,830.369995,852.51001,852.51001,1288800,,1/11/2018,7168.72998,7211.779785,7163.22998,7211.779785,7211.779785,2009740000,,,,
1/12/2018,863.070007,886.650024,857.330017,873.049988,873.049988,1180700,,1/12/2018,7208.169922,7265.259766,7205.180176,7261.060059,7261.060059,1976200000,,,,
1/16/2018,889.22998,901.22998,884.76001,901.22998,901.22998,1009400,x,1/16/2018,7307.189941,7330.330078,7205.930176,7223.689941,7223.689941,2377140000,,,,
1/17/2018,902.369995,905.950012,884.909973,886.580017,886.580017,1212000,,1/17/2018,7257.77002,7309.359863,7229.319824,7298.279785,7298.279785,2238070000,,,,
1/18/2018,892.5,899.849976,887.669983,898.190002,898.190002,1260200,,1/18/2018,7293.649902,7313.890137,7276.109863,7296.049805,7296.049805,2026220000,,,,
